NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000073,강원도,원주시,2017-0302-0287,2017-09-21,2018-09-20,,,,"강원도 원주시 소초면 수암리 529,산52",,복숭아,9204,,2017-09-21,이희구,,,강원도 원주시청,2017-11-03
000074,강원도,원주시,2017-0301-0281,2017-09-21,2018-09-20,,,,"강원도 원주시 소초면 수암리 632-1,-2",,배,6132,,2017-09-21,김철종,,,강원도 원주시청,2017-11-03
000075,강원도,원주시,2017-0302-0224,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 수암리 939-1,940-7",,복숭아,4713,,2017-08-08,이금순,,,강원도 원주시청,2017-11-03
000076,강원도,원주시,2017-0301-0283,2017-09-21,2018-09-20,,,,"강원도 원주시 소초면 수암리 986,1009-2",,배,6796,,2017-09-21,신경희,,,강원도 원주시청,2017-11-03
000077,강원도,원주시,2017-0202-0155,2017-07-03,2018-07-02,,,,"강원도 원주시 소초면 평장리 362-2,429",,감자,5858,,2017-07-03,이종은,,,강원도 원주시청,2017-11-03
000078,강원도,원주시,2017-0202-0288,2017-09-21,2018-09-20,,,,"강원도 원주시 소초면 평장리 431,434",,고구마,5346,,2017-09-21,정연주,,,강원도 원주시청,2017-11-03
000079,강원도,원주시,2017-0203-0107,2017-06-19,2018-06-18,,,,"강원도 원주시 소초면 평장리 489,490",,마늘쫑,4298,,2017-06-19,이규성,,,강원도 원주시청,2017-11-03
000080,강원도,원주시,2017-0302-0220,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 735-25,-29~30,-41~42",,복숭아,8048,,2017-08-08,안영준,,,강원도 원주시청,2017-11-03
000081,강원도,원주시,2017-0301-0286,2017-09-21,2018-09-20,,,,"강원도 원주시 소초면 평장리 770-3,-4",,사과,8984,,2017-09-21,안광수,,,강원도 원주시청,2017-11-03
000082,강원도,원주시,2017-0201-0209,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 887-1,889-1",,"""고추(꽈리,오이)""",2828,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000083,강원도,원주시,2017-0204-0210,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 887-1,889-1",,대파,2828,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000084,강원도,원주시,2017-0201-0211,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 887-1,889-1",,옥수수,2828,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000085,강원도,원주시,2017-0201-0214,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,노각,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000086,강원도,원주시,2017-0201-0215,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,울타리호박,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000087,강원도,원주시,2017-0203-0216,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,비름나물,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000088,강원도,원주시,2017-0201-0217,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,가지,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000089,강원도,원주시,2017-0203-0212,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,부추,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000090,강원도,원주시,2017-0203-0213,2017-08-08,2018-08-07,,,,"강원도 원주시 소초면 평장리 893-2,-4",,곤드레,2296,,2017-08-08,송영팔,,,강원도 원주시청,2017-11-03
000091,강원도,원주시,2017-0203-0026,2017-04-24,2018-04-23,,,,"강원도 원주시 소초면 평장리 893-2,-4",,원추리,2296,,2017-04-24,송영팔,,,강원도 원주시청,2017-11-03
000092,강원도,원주시,2017-0203-0027,2017-04-24,2018-04-23,,,,"강원도 원주시 소초면 평장리 893-2,-4",,쑥,2296,,2017-04-24,송영팔,,,강원도 원주시청,2017-11-03
000093,강원도,원주시,2017-0302-0267,2017-09-01,2018-08-31,,,,"강원도 원주시 소초면 평장리 산234-3,332-1,-2,326-1,-2,327",,복숭아,13494,,2017-09-01,이우연,,,강원도 원주시청,2017-11-03
000094,강원도,원주시,2017-0302-0177,2017-07-17,2018-07-16,,,,"강원도 원주시 소초면 학곡리 236-2,250~1,256,258-2",,복숭아,11659,,2017-07-17,오경환,,,강원도 원주시청,2017-11-03
000095,강원도,원주시,2017-0302-0164,2017-07-11,2018-07-10,,,,"강원도 원주시 소초면 학곡리 415,415-1,404~5,408-2",,복숭아,6995,,2017-07-11,김주호,,,강원도 원주시청,2017-11-03
